,Unnamed: 0,tweet,hash,stopped,lemmaed
17540,17540,sorry rahul please vacate your family bastion its time for a positive change,harboothparmodi,sorry rahul please vacate family bastion time positive change,sorry rahul please vacate family bastion time positive change
17543,17543,kktotlani rahulgandhi,rajivgandhichorhai,kktotlani rahulgandhi,kktotlani rahulgandhi
17544,17544,mamataofficial tajinderbagga,jaishriram,mamataofficial tajinderbagga,mamataofficial tajinderbagga
17545,17545,drharshvardhan,harboothparmodi,drharshvardhan,drharshvardhan
17548,17548,bjp4india live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,bjp4india live shri amitshah addressing public meeting bettiah bihar,bjp4india live shri amitshah addressing public meeting bettiah bihar
17549,17549,bjp4india live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,bjp4india live shri amitshah addressing public meeting bettiah bihar,bjp4india live shri amitshah addressing public meeting bettiah bihar
17550,17550,bjp4india live shri amitshah is addressing a public meeting in bettiah bihar,harboothparmodi,bjp4india live shri amitshah addressing public meeting bettiah bihar,bjp4india live shri amitshah addressing public meeting bettiah bihar
17552,17552,narendramodi tajinderbagga,firsttimevoter,narendramodi tajinderbagga,narendramodi tajinderbagga
17553,17553,cnbctv18live,votinground5,cnbctv18live,cnbctv18live
17554,17554,fir se modi sarkaar narendramodi chouhanshivraj sardanarohit aajtak bjp4india sambitswaraj,harboothparmodi,fir se modi sarkaar narendramodi chouhanshivraj sardanarohit aajtak bjp4india sambitswaraj,fir se modi sarkaar narendramodi chouhanshivraj sardanarohit aajtak bjp4india sambitswaraj
17555,17555,narendramodi myogiadityanath anujmaausha sanjayraiupbjp sunilbansalbjp,harboothparmodi,narendramodi myogiadityanath anujmaausha sanjayraiupbjp sunilbansalbjp,narendramodi myogiadityanath anujmaausha sanjayraiupbjp sunilbansalbjp
17557,17557,mahendra singh dhoni casts his vote at a polling booth in jawahar vidya mandir in ranchi jharkhand source ani,loksabhaelections2019,mahendra singh dhoni casts vote polling booth jawahar vidya mandir ranchi jharkhand source ani,mahendra singh dhoni cast vote polling booth jawahar vidya mandir ranchi jharkhand source ani
17559,17559,zeenews,votinground5,zeenews,zeenews
17560,17560,live shri amitshah ji is addressing a public meeting in bettiah bihar,harboothparmodi,live shri amitshah ji addressing public meeting bettiah bihar,live shri amitshah ji addressing public meeting bettiah bihar
17561,17561,bangaon lok sabha constituency of west bengal full list of candidates,votinground5,bangaon lok sabha constituency west bengal full list candidates,bangaon lok sabha constituency west bengal full list candidate
17563,17563,zeenews,votinground5,zeenews,zeenews
17565,17565,,gotinked,,
17569,17569,must be condemned didi this is not expected of your party you must stop this hooliganism,loksabhaelections2019,must condemned didi expected party must stop hooliganism,must condemned didi expected party must stop hooliganism
17572,17572,vote for is a vote for assholes,bjp,vote vote assholes,vote vote asshole
17575,17575,my entire fuckin insta and whatsapp today,votinground5,entire fuckin insta whatsapp today,entire fuckin insta whatsapp today
17576,17576,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17577,17577,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17578,17578,acerphils vibe high joelenca23,makeyourmark,acerphils vibe high joelenca23,acerphils vibe high joelenca23
17579,17579,but modern india mein ye sab kaha hota hai,smashbrahaminicalpatriarchy,modern india mein ye sab kaha hota hai,modern india mein ye sab kaha hota hai
17580,17580,selfexplanatory rathore narendramodi,selfiewithink,selfexplanatory rathore narendramodi,selfexplanatory rathore narendramodi
17585,17585,21 lies in 3 interviews rahul exposes rahul,harboothparmodi,21 lies 3 interviews rahul exposes rahul,21 lie 3 interview rahul expose rahul
17586,17586,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17587,17587,vibe high joelenca23,makeyourmark,vibe high joelenca23,vibe high joelenca23
17588,17588,rekhachaubey wah ji wah bahut khoob yahi satya hai jai ho,harboothparmodi,rekhachaubey wah ji wah bahut khoob yahi satya hai jai ho,rekhachaubey wah ji wah bahut khoob yahi satya hai jai ho
17589,17589,simmiahuja withtonk,mainhindustanhoon,simmiahuja withtonk,simmiahuja withtonk
17590,17590,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17591,17591,vote for bjp,harboothparmodi,vote bjp,vote bjp
17593,17593,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17594,17594,live shri amitshah addresses public meeting in basantpur siwan bihar,harboothparmodi,live shri amitshah addresses public meeting basantpur siwan bihar,live shri amitshah address public meeting basantpur siwan bihar
17596,17596,21 lies in 3 interviews rahul exposes rahul,harboothparmodi,21 lies 3 interviews rahul exposes rahul,21 lie 3 interview rahul expose rahul
17597,17597,vivekagnihotri,rajivgandhichorhai,vivekagnihotri,vivekagnihotri
17598,17598,imrajrishi18 incindia kuch toh sharam kro fake dp lgake juth bhokne vale janta maaf ni kregi,harboothparmodi,imrajrishi18 incindia kuch toh sharam kro fake dp lgake juth bhokne vale janta maaf ni kregi,imrajrishi18 incindia kuch toh sharam kro fake dp lgake juth bhokne vale janta maaf ni kregi
17599,17599,har booth per harega to modi hi,harboothparmodi,har booth per harega modi hi,har booth per harega modi hi
17600,17600,wait for the unexpected and surprises,votinground5,wait unexpected surprises,wait unexpected surprise
17601,17601,bjp4india amitshah,mainhindustanhoon,bjp4india amitshah,bjp4india amitshah
17603,17603,the polling percentage at 5 pm 6984wb4489 up5807 jharkhand 58 in rajasthan4408 bihar1551 j amp k5404 mp,phase5,polling percentage 5 pm 6984wb4489 up5807 jharkhand 58 rajasthan4408 bihar1551 j amp k5404 mp,polling percentage 5 pm 6984wb4489 up5807 jharkhand 58 rajasthan4408 bihar1551 j amp k5404 mp
17604,17604,live addressing the public meeting at maidan crown rohtak road delhi,harboothparmodi,live addressing public meeting maidan crown rohtak road delhi,live addressing public meeting maidan crown rohtak road delhi
17608,17608,sureshkpujari amitshah bjp4bengal,harboothparmodi,sureshkpujari amitshah bjp4bengal,sureshkpujari amitshah bjp4bengal
17609,17609,shri amit shah addresses public meeting in basantpur siwan bihar,harboothparmodi,shri amit shah addresses public meeting basantpur siwan bihar,shri amit shah address public meeting basantpur siwan bihar
17610,17610,dasraghubar narendramodi,harboothparmodi,dasraghubar narendramodi,dasraghubar narendramodi
17611,17611,the love for prime minister narendramodi,harboothparmodi,love prime minister narendramodi,love prime minister narendramodi
17612,17612,in these jharkhand villages fighting for land rights invites sedition charges,phase5,jharkhand villages fighting land rights invites sedition charges,jharkhand village fighting land right invite sedition charge
17614,17614,bantu mere santu kore deven didi,bengalrocks,bantu mere santu kore deven didi,bantu mere santu kore deven didi
17618,17618,lambaalka,rajivgandhichorhai,lambaalka,lambaalka
17620,17620,exercised my right to vote at a polling booth in sitapur,loksabhaelections2019,exercised right vote polling booth sitapur,exercised right vote polling booth sitapur
17622,17622,tajinderbagga amarperla mamataofficial,jaishriram,tajinderbagga amarperla mamataofficial,tajinderbagga amarperla mamataofficial
17623,17623,drrpnishank,hargharmodikesaath,drrpnishank,drrpnishank
17624,17624,three cheers to ladakh huge voter turnout of 6120 already,phase5,three cheers ladakh huge voter turnout 6120 already,three cheer ladakh huge voter turnout 6120 already
17625,17625,rajivprataprudy atishapratap all the best rajivprataprudy jimay 23 is historic day for,saran,rajivprataprudy atishapratap best rajivprataprudy jimay 23 historic day,rajivprataprudy atishapratap best rajivprataprudy jimay 23 historic day
17627,17627,mamataofficial,jaishriram,mamataofficial,mamataofficial
17630,17630,lallusinghbjp satishsharmamla nation first vote must,firsttimevoter,lallusinghbjp satishsharmamla nation first vote must,lallusinghbjp satishsharmamla nation first vote must
17631,17631,dasraghubar narendramodi,harboothparmodi,dasraghubar narendramodi,dasraghubar narendramodi
17633,17633,deadpoolsryt audreytruschke,yorajivsopatriot,deadpoolsryt audreytruschke,deadpoolsryt audreytruschke
17635,17635,hows modi doing in this round,votinground5,hows modi round,hows modi round
17636,17636,vote for nationvoting in sitapur 6 may ceoup abpnewstv ceoup,kbpmselfie,vote nationvoting sitapur 6 may ceoup abpnewstv ceoup,vote nationvoting sitapur 6 may ceoup abpnewstv ceoup
17639,17639,narendramodi pmoindia bbishnupur bjp4bengalbharat mata ki jai,harboothparmodi,narendramodi pmoindia bbishnupur bjp4bengalbharat mata ki jai,narendramodi pmoindia bbishnupur bjp4bengalbharat mata ki jai
17640,17640,nandkumarsinghc,harboothparmodi,nandkumarsinghc,nandkumarsinghc
17641,17641,come out and vote dont cry later,harboothparmodi,come vote dont cry later,come vote dont cry later
17642,17642,sharaab ki dukaan khul gayi hogi,phase5,sharaab ki dukaan khul gayi hogi,sharaab ki dukaan khul gayi hogi
17643,17643,this video about rahulgandhi is cent percent true is the future of india,rahulgandhi,video rahulgandhi cent percent true future india,video rahulgandhi cent percent true future india
17645,17645,well done,muzaffarpur,well done,well done
17646,17646,voted for developing india amp specially for ram rajya,votekar,voted developing india amp specially ram rajya,voted developing india amp specially ram rajya
17647,17647,mamataofficial didi,jaishriram,mamataofficial didi,mamataofficial didi
17649,17649,this post itself is explaining how much educated this ladys political gurus are,ladypappu,post explaining much educated ladys political gurus,post explaining much educated lady political guru
17651,17651,kiran kumari,votinground5,kiran kumari,kiran kumari
17652,17652,bjp4india,harboothparmodi,bjp4india,bjp4india
17653,17653,jai shree ram,harboothparmodi,jai shree ram,jai shree ram
17655,17655,mohnotgaurav18 so whats happening in,amethi,mohnotgaurav18 whats happening,mohnotgaurav18 whats happening
17656,17656,pappu ka samrthak bhi pappu se kam nahi,mandbudhi,pappu ka samrthak bhi pappu se kam nahi,pappu ka samrthak bhi pappu se kam nahi
17657,17657,narendramodis remarks on show hes hit nadir of pettiness captamarinder,rajivgandhi,narendramodis remarks show hes hit nadir pettiness captamarinder,narendramodis remark show he hit nadir pettiness captamarinder
17658,17658,the habit of communists of disrespecting hindu epics culture and tradition,harboothparmodi,habit communists disrespecting hindu epics culture tradition,habit communist disrespecting hindu epic culture tradition
17659,17659,hey dramsinghvi what is the violation when being scamster is called out that is the truth anyway,rajivgandhi,hey dramsinghvi violation scamster called truth anyway,hey dramsinghvi violation scamster called truth anyway
17660,17660,congresprogres bjp4india amitshah,mainhindustanhoon,congresprogres bjp4india amitshah,congresprogres bjp4india amitshah
17662,17662,sampitroda,rajivgandhichorhai,sampitroda,sampitroda
17665,17665,when this will be election issue or manifesto part bjp4india aamaadmiparty incindia,phase5,election issue manifesto part bjp4india aamaadmiparty incindia,election issue manifesto part bjp4india aamaadmiparty incindia
17667,17667,amganesh3 congresprogres bjp4india amitshah,mainhindustanhoon,amganesh3 congresprogres bjp4india amitshah,amganesh3 congresprogres bjp4india amitshah
17668,17668,narendramodis remarks on show hes hit nadir of pettiness captamarinder,rajivgandhi,narendramodis remarks show hes hit nadir pettiness captamarinder,narendramodis remark show he hit nadir pettiness captamarinder
17669,17669,bdutt rahulgandhi can you quote a single modi supporter who is feeling hurt after hearing,rajivgandhichorhai,bdutt rahulgandhi quote single modi supporter feeling hurt hearing,bdutt rahulgandhi quote single modi supporter feeling hurt hearing
